"filename", "language", "Markdown", "JSON", "JSON with Comments", "CSS", "HTML", "TypeScript", "comment", "blank", "total"
"c:\Users\sef\repos\Pathfinding-Visualizer\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\sef\repos\Pathfinding-Visualizer\index.html", "HTML", 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\sef\repos\Pathfinding-Visualizer\package-lock.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\sef\repos\Pathfinding-Visualizer\package.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\sef\repos\Pathfinding-Visualizer\scripts\frontiers\frontier.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 5, 28
"c:\Users\sef\repos\Pathfinding-Visualizer\scripts\frontiers\greedyFrontier.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 2, 27
"c:\Users\sef\repos\Pathfinding-Visualizer\scripts\frontiers\queueFrontier.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\sef\repos\Pathfinding-Visualizer\scripts\frontiers\stackFrontier.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\sef\repos\Pathfinding-Visualizer\scripts\index.ts", "TypeScript", 0, 0, 0, 0, 0, 304, 1, 52, 357
"c:\Users\sef\repos\Pathfinding-Visualizer\scripts\nodes.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\sef\repos\Pathfinding-Visualizer\styles\grid.css", "CSS", 0, 0, 0, 32, 0, 0, 0, 8, 40
"c:\Users\sef\repos\Pathfinding-Visualizer\styles\style.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 10, 60
"c:\Users\sef\repos\Pathfinding-Visualizer\tsconfig.json", "JSON with Comments", 0, 0, 10, 0, 0, 0, 91, 9, 110
"Total", "-", 2, 43, 10, 82, 44, 386, 92, 95, 754